WARNING 2021-07-23 23:22:45,303 basehttp 154 "GET /register/js/axios-0.18.0.min.js HTTP/1.1" 404 2205
WARNING 2021-07-23 23:22:45,303 basehttp 154 "GET /register/js/common.js HTTP/1.1" 404 2175
WARNING 2021-07-23 23:22:45,316 log 222 Not Found: /register/js/register.js
WARNING 2021-07-23 23:22:45,318 log 222 Not Found: /register/img/image_code.png
WARNING 2021-07-23 23:22:45,319 basehttp 154 "GET /register/js/register.js HTTP/1.1" 404 2181
WARNING 2021-07-23 23:22:45,321 log 222 Not Found: /register/js/host.js
WARNING 2021-07-23 23:22:45,321 basehttp 154 "GET /register/img/image_code.png HTTP/1.1" 404 2193
WARNING 2021-07-23 23:22:45,321 basehttp 154 "GET /register/js/host.js HTTP/1.1" 404 2169
WARNING 2021-07-23 23:22:45,331 log 222 Not Found: /register/js/common.js
WARNING 2021-07-23 23:22:45,331 basehttp 154 "GET /register/js/common.js HTTP/1.1" 404 2175
WARNING 2021-07-23 23:22:45,338 log 222 Not Found: /register/js/register.js
WARNING 2021-07-23 23:22:45,338 basehttp 154 "GET /register/js/register.js HTTP/1.1" 404 2181
INFO 2021-07-23 23:22:46,178 basehttp 154 "GET /register/ HTTP/1.1" 200 5131
WARNING 2021-07-23 23:22:46,195 log 222 Not Found: /register/bootstrap/css/bootstrap.min.css
WARNING 2021-07-23 23:22:46,197 basehttp 154 "GET /register/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 2232
WARNING 2021-07-23 23:22:46,199 log 222 Not Found: /register/js/axios-0.18.0.min.js
WARNING 2021-07-23 23:22:46,200 log 222 Not Found: /register/js/vue-2.5.16.js
WARNING 2021-07-23 23:22:46,201 basehttp 154 "GET /register/js/axios-0.18.0.min.js HTTP/1.1" 404 2205
WARNING 2021-07-23 23:22:46,201 basehttp 154 "GET /register/js/vue-2.5.16.js HTTP/1.1" 404 2187
WARNING 2021-07-23 23:22:46,208 log 222 Not Found: /register/js/host.js
WARNING 2021-07-23 23:22:46,211 log 222 Not Found: /register/js/axios-0.18.0.min.js
WARNING 2021-07-23 23:22:46,211 basehttp 154 "GET /register/js/axios-0.18.0.min.js HTTP/1.1" 404 2205
WARNING 2021-07-23 23:22:46,211 basehttp 154 "GET /register/js/host.js HTTP/1.1" 404 2169
WARNING 2021-07-23 23:22:46,213 log 222 Not Found: /register/js/common.js
WARNING 2021-07-23 23:22:46,214 basehttp 154 "GET /register/js/common.js HTTP/1.1" 404 2175
WARNING 2021-07-23 23:22:46,220 log 222 Not Found: /register/js/register.js
WARNING 2021-07-23 23:22:46,223 log 222 Not Found: /register/img/image_code.png
WARNING 2021-07-23 23:22:46,224 log 222 Not Found: /register/js/host.js
WARNING 2021-07-23 23:22:46,226 basehttp 154 "GET /register/js/register.js HTTP/1.1" 404 2181
WARNING 2021-07-23 23:22:46,226 basehttp 154 "GET /register/img/image_code.png HTTP/1.1" 404 2193
WARNING 2021-07-23 23:22:46,227 basehttp 154 "GET /register/js/host.js HTTP/1.1" 404 2169
WARNING 2021-07-23 23:22:46,236 log 222 Not Found: /register/js/common.js
WARNING 2021-07-23 23:22:46,236 basehttp 154 "GET /register/js/common.js HTTP/1.1" 404 2175
WARNING 2021-07-23 23:22:46,244 log 222 Not Found: /register/js/register.js
WARNING 2021-07-23 23:22:46,244 basehttp 154 "GET /register/js/register.js HTTP/1.1" 404 2181
INFO 2021-07-23 23:25:54,357 basehttp 154 "GET /register/ HTTP/1.1" 200 5131
WARNING 2021-07-23 23:25:54,385 log 222 Not Found: /register/bootstrap/css/bootstrap.min.css
WARNING 2021-07-23 23:25:54,386 log 222 Not Found: /register/js/axios-0.18.0.min.js
WARNING 2021-07-23 23:25:54,388 log 222 Not Found: /register/js/vue-2.5.16.js
WARNING 2021-07-23 23:25:54,389 basehttp 154 "GET /register/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 2232
WARNING 2021-07-23 23:25:54,390 basehttp 154 "GET /register/js/axios-0.18.0.min.js HTTP/1.1" 404 2205
WARNING 2021-07-23 23:25:54,390 basehttp 154 "GET /register/js/vue-2.5.16.js HTTP/1.1" 404 2187
WARNING 2021-07-23 23:25:54,401 log 222 Not Found: /register/js/host.js
WARNING 2021-07-23 23:25:54,402 log 222 Not Found: /register/js/common.js
WARNING 2021-07-23 23:25:54,403 log 222 Not Found: /register/js/axios-0.18.0.min.js
WARNING 2021-07-23 23:25:54,405 basehttp 154 "GET /register/js/host.js HTTP/1.1" 404 2169
WARNING 2021-07-23 23:25:54,405 basehttp 154 "GET /register/js/common.js HTTP/1.1" 404 2175
WARNING 2021-07-23 23:25:54,405 basehttp 154 "GET /register/js/axios-0.18.0.min.js HTTP/1.1" 404 2205
WARNING 2021-07-23 23:25:54,414 log 222 Not Found: /register/js/register.js
WARNING 2021-07-23 23:25:54,416 log 222 Not Found: /register/img/image_code.png
WARNING 2021-07-23 23:25:54,416 basehttp 154 "GET /register/js/register.js HTTP/1.1" 404 2181
WARNING 2021-07-23 23:25:54,417 basehttp 154 "GET /register/img/image_code.png HTTP/1.1" 404 2193
WARNING 2021-07-23 23:25:54,419 log 222 Not Found: /register/js/host.js
WARNING 2021-07-23 23:25:54,420 basehttp 154 "GET /register/js/host.js HTTP/1.1" 404 2169
WARNING 2021-07-23 23:25:54,428 log 222 Not Found: /register/js/common.js
WARNING 2021-07-23 23:25:54,428 basehttp 154 "GET /register/js/common.js HTTP/1.1" 404 2175
WARNING 2021-07-23 23:25:54,436 log 222 Not Found: /register/js/register.js
WARNING 2021-07-23 23:25:54,436 basehttp 154 "GET /register/js/register.js HTTP/1.1" 404 2181
